"Product Code","Product Name",Variant,Expected,Counted
channa_test,channa_test,,1850.0000,
cocacola001,cocacola,,350.0000,
E001,"PAMECTIN 18EC 250ML ប៉ាមិកទីន",,100.0000,
E003,"KAFARIN 480ml/40 កាហ្វារីន",,200.0000,
E004,"KABU100G/100 កាបុយ",,300.0000,
E005,"CYRUX  1L VN/10 សីរុក",,0.0000,
E006,"Losmise 250ml/40 ឡុកម៉ាយ",,360.0000,
E007,"Karate 250ml/ 40  ការាត់ទេ",,100.0000,
E008,"U-T80 500ml/40 អ៊ុយតេ ៨០",,40.0000,
E009,"U-T90 480ml/20",,100.0000,
E010,"U-T 99 500ml/20",,0.0000,
E011,"INTECT 500ml/24  អិនទិក",,240.0000,
E012,"Methomyl 500g/20 កញ្ចប់ ម្សៅត្រី",,0.0000,
E013,"Hopson 500ml/24 ហប់សាន់",,312.0000,
E014,"Alfathrin 1l/20 អាល់ហ្វារីន",,200.0000,
E015,"Ascend​100g/100 អាសិន",,300.0000,
E016,"Abamectin 1L/12 ត្រីខាប់",,0.0000,
E017,"Spider 25ml/... ពីងពាង",,0.0000,
E018,"Parinho 007 500ml/20",,0.0000,
E021,"Methomyl Thai 1kg/12 ម្សៅត្រីថៃ J-Group",,95.0000,
E022,"Parida 480ml/40 ប៉ារីដា",,0.0000,
E023,"Frog 100ml/100 កង្កែប",,22.0000,
E024,"S72 250ml/40  អេស៧២",,40.0000,
E025,"Axe 100ml/100 ពូថៅ​",,0.0000,
E026,"S72 10g/400 អេស72កញ្ចប់",,0.0000,
E027,"Panil 1kg/ 20 ប៉ានីល",,0.0000,
E029,"CYPERAN 450ml/40 ..  ស៊ីភើរ៉ង់",,40.0000,
E030,"12:00 1Kg/12 កំប៉ុងម្សៅត្រី​12:00",,34.0000,
E032,"IN 36 480ml/30 អ៊ីន៣៦",,450.0000,
E033,"999 480ml/40",,140.0000,
E034,"999 100ml/100",,53.0000,
E035,"Vasomix Bl1/20 វាសូមិច",,220.0000,
E037,"Dovil 1L/20 ដូវីល",,40.0000,
E039,"CYRUX  1L  KH /10",,30.0000,
E040,"J Nock 350 /12 Thai ជេ ណុក ថៃ",,0.0000,
E041,"Jiathi/100 ចាធី",,600.0000,
E042,Kankun/20,,0.0000,
E043,"ATYLO 100g /100  អាទីឡូ",,0.0000,
E044,"Mopride 8g/1000",,0.0000,
E045,"Pyridaben thai 1kg /25 ពែរីដាបីន ថៃ",,12.0000,
E046,"Henry 500g/20 ម្សៅត្រីហែនរី",,0.0000,
E047,"Refigen 500ml / រីហ្វីជែន",,0.0000,
E048,"Hercule 20g",,0.0000,
E049,"Galic Oil 100g ប្រេងខ្ទឹម",,0.0000,
E050,MIDAN,,0.0000,
E055,"Rong Beang / រុងបៀង",,0.0000,
E056,"Agri plus 1kg /",,0.0000,
E057,"Apertil Goal",,0.0000,
E058,Dopazol,,0.0000,
E059,"C-O Plus សីុអូ ផ្លាស",,18.0000,
E47,"VIKOTA  480ml-20  /វីកូតា",,0.0000,
E48,"Catodan 1kg",,0.0000,
F001,"A80 Kg/20",,0.0000,
F002,"Amistar Top 250/20 អាមីស្តា​ថប់",,27.0000,
F003,"Amistar 100/50 អាមីស្តា",,0.0000,
F004,"Antracol KH 1 Kg /12 អាំងត្រាកុលខ្មែ",,478.0000,
F005,"Anvil L/12 អានវីល",,48.0000,
F006,"ARIN L/20 អារីន",,200.0000,
F007,"Cabenzim L/20កាបិនស៊ីម",,0.0000,
F008,"Dithane kg/10 ឌីតាន",,160.0000,
F009,"Dr.Green500g/20 ដុកទ័រគ្រីន",,0.0000,
F010,"HoTiSco 250/40 ហូទីស្កូ",,0.0000,
F011,"Kacop 100/100 កាខុប",,0.0000,
F013,"Kalaxy100g/100 កាឡាក់ស៊ី",,20.0000,
F014,"Kalaxy500g/20 កាឡាក់ស៊ី",,40.0000,
F015,"Kalonil 100g/100 កាឡូនីល",,0.0000,
F018,"Kamanta 500g/Pack-30 កាម៉ង់តា​500ក្រាម",,0.0000,
F019,"Kanazol 480ml/40 កាណាសូល",,800.0000,
F021,"Mapgreen 250ml/40 ម៉ាបគ្រីន",,360.0000,
F024,"Ridomil 1kg/ រីដូមីល",,20.0000,
F025,"Score 50ml/100 ស្ករ",,800.0000,
F026,"Stop Stop 500ml/20 ស្តុប​ ស្តុប",,40.0000,
F0260,"Stop Stop 250ml/20 ស្តុប​ ស្តុបតូច",,0.0000,
F027,"Supersheild 500g/30 ស៊ុពែសៀល",,0.0000,
F028,"Tiltsuper250ml/40 ទីនមូល",,0.0000,
F029,"Tilt USA 250ml /40 ទីនជ្រុង",,80.0000,
F030,"Topmystar250ml/40 ថប់មីស្តា",,480.0000,
F032,"Dithanthai1kg/12 ឌីថានថៃ",,0.0000,
F033,"Samystar 250/40 សាមីស្តារ",,40.0000,
F034,"Mame/ ម៉ាមេ/pack",,0.0000,
F035,"A80 Thai អា៨០ថែ",,0.0000,
F036,"Confidor- 20ml",,0.0000,
F038,"Dithanthai fish 1kg/12 ឌីថានត្រី",,0.0000,
F039,"Carell 5mg",,1900.0000,
F042,"20-20- moon/ 25kg ជីព្រះច័ន្ទ",,0.0000,
F043,"AntracolThai Kg /16 lada អាំងត្រាកុលថៃ",,0.0000,
F044,"CabenzimThai L/12កាបិនស៊ីមថៃ",,0.0000,
F045,Patry/100,,0.0000,
F046,"Prochloraz lada 1l Th/20 ប្រូក្លរ៉ាស",,60.0000,
F047,"Cadillac 1 Kg /10 កាឌីឡាក់",,0.0000,
F048,"ខៀវល្អ ៥០០មល / 20",,0.0000,
F049,"Tiltsuper 400 New 250ml/40 ទីនមូល 400 ថ្មី",,0.0000,
F050,"Prochloraz new Th 1l /20 ប្រូក្លរ៉ាស ថ្មី",,41.0000,
F051,"Prochloraz Th 100ml /24 ប្រូក្លរ៉ាស តូច",,72.0000,
F055,ដៃថេន,,0.0000,
F058,"PANTA66.6WF 100g /  ប៉ង់តា 100 ក",,0.0000,
F059,"Jiacure 250ml 40  /   ចៃកឺ Tebuconazol",,0.0000,
F060,"Antracol​ VN 1 Kg /12 អាំងត្រាកុលយួន",,60.0000,
F061,"Propined​-old- VN 1 Kg 25000",,0.0000,
G001,"168 100ml/100",,1000.0000,
G002,"Multi-K 25kg កាណូបា ២៥គ",,0.0000,
G003,"Bortrac1L/12 បូត្រាក",,192.0000,
G004,"Fulva1L/20 ហ្វុលវ៉ា",,140.0000,
G005,AMINO250ML/48អាមីណូ,,2.0000,
G006,"AMINO 500ml/24 អាមីណូ​",,0.0000,
G008,"HK7-5-441kg/20 ហាសកា",,20.0000,
G010,"Multi-k 2kg/12 កាណូបា ២គ",,204.0000,
G0102,"Bidamin pack 1kg/ 20ក បីដាមីនខ្មែកញ្ចប់",,0.0000,
