"Product Code","Product Name",Variant,Expected,Counted
E001,"PAMECTIN 18EC 250ML ប៉ាមិកទីន",,-1.0000,
E002,"ANOVA 480ml/40 អាណូវា",,5.0000,
E003,"KAFARIN 480ml/40 កាហ្វារីន",,403.0000,
E004,"KABU100G/100 កាបុយ",,4.0000,
E005,"CYRUX  1L VN/10 សីរុក",,22.0000,
E006,"Losmise 250ml/40 ឡុកម៉ាយ",,369.0000,
E007,"Karate 250ml/ 40  ការាត់ទេ",,226.0000,
E008,"U-T80 500ml/40 អ៊ុយតេ ៨០",,178.0000,
E009,"U-T90 480ml/20",,98.0000,
E010,"U-T 99 500ml/20",,0.0000,
E011,"INTECT 500ml/24  អិនទិក",,101.0000,
E012,"Methomyl 500g/20 កញ្ចប់ ម្សៅត្រី",,20.0000,
E013,"Hopson 500ml/24 ហប់សាន់",,395.0000,
E014,"Alfathrin 1l/20 អាល់ហ្វារីន",,221.0000,
E015,"Ascend​100g/100 អាសិន",,618.0000,
E016,"Abamectin 1L/12 ត្រីខាប់",,187.0000,
E017,"Spider 25ml/... ពីងពាង",,25.0000,
E018,"Parinho 007 500ml/20",,0.0000,
E019,"Maxfos 500ml/… ម៉ាហ្វូស",,0.0000,
E020,"Pasultap100g/100 ប៉ាសុលតាប់",,0.0000,
E021,"Methomyl Thai 1kg/12 ម្សៅត្រីថៃ J-Group",,9.0000,
E022,"Parida 480ml/40 ប៉ារីដា",,68.0000,
E023,"Frog 100ml/100 កង្កែប",,176.0000,
E024,"S72 250ml/40  អេស៧២",,231.0000,
E025,"Axe 100ml/100 ពូថៅ​",,220.0000,
E026,"S72 10g/400 អេស72កញ្ចប់",,-4.0000,
E027,"Panil 1kg/ 20 ប៉ានីល",,5.0000,
E029,"CYPERAN 450ml/40 ..  ស៊ីភើរ៉ង់",,97.0000,
E030,"12:00 1Kg/12 កំប៉ុងម្សៅត្រី​12:00",,82.0000,
E032,"IN 36 480ml/30 អ៊ីន៣៦",,588.0000,
E033,"999 480ml/40",,297.0000,
E034,"999 100ml/100",,260.0000,
E035,"Vasomix Bl1/20 វាសូមិច",,0.0000,
E036,"Mamectin 480ml / ម៉ាមិចទីន",,0.0000,
E037,"Dovil 1L/20 ដូវីល",,0.0000,
E039,"CYRUX  1L  KH /10",,0.0000,
E040,"J Nock 350 /12 Thai ជេ ណុក ថៃ",,73.0000,
E041,"Jiathi/100 ចាធី",,487.0000,
E042,Kankun/20,,72.0000,
E043,"ATYLO 100g /100  អាទីឡូ",,53.0000,
E044,"Mopride 8g/1000",,933.0000,
E045,"Pyridaben thai 1kg /25 ពែរីដាបីន ថៃ",,0.0000,
E046,"Henry 500g/20 ម្សៅត្រីហែនរី",,0.0000,
E047,"Refigen 500ml / រីហ្វីជែន",,0.0000,
E048,"Hercule 20g",,0.0000,
E049,"Galic Oil 100g ប្រេងខ្ទឹម",,0.0000,
E050,MIDAN,,0.0000,
E055,"Rong Beang / រុងបៀង",,0.0000,
E056,"Agri plus 1kg /",,0.0000,
E057,"Apertil Goal",,0.0000,
E058,Dopazol,,0.0000,
E059,"C-O Plus សីុអូ ផ្លាស",,0.0000,
E47,"VIKOTA  480ml-20  /វីកូតា",,0.0000,
F001,"A80 Kg/20",,8.0000,
F002,"Amistar Top 250/20 អាមីស្តា​ថប់",,0.0000,
F003,"Amistar 100/50 អាមីស្តា",,237.0000,
F004,"Antracol Kg /12 អាំងត្រាកុល",,496.0000,
F005,"Anvil L/12 អានវីល",,27.0000,
F006,"ARIN L/20 អារីន",,161.0000,
F007,"Cabenzim L/20កាបិនស៊ីម",,5.0000,
F008,"Dithane kg/10 ឌីតាន",,207.0000,
F009,"Dr.Green500g/20 ដុកទ័រគ្រីន",,25.0000,
F010,"HoTiSco 250/40 ហូទីស្កូ",,28.0000,
F011,"Kacop 100/100 កាខុប",,48.0000,
F012,Kacop/500កាខុប,,0.0000,
F013,"Kalaxy100g/100 កាឡាក់ស៊ី",,235.0000,
F014,"Kalaxy500g/20 កាឡាក់ស៊ី",,16.0000,
