"Product Code","Product Name",Variant,Expected,Counted
E003,"KAFARIN 480ml/40 កាហ្វារីន",,0.0000,
E004,"KABU100G/100 កាបុយ",,0.0000,
E022,"Parida 480ml/40 ប៉ារីដា",,0.0000,
E027,"Panil 1kg/ 20 ប៉ានីល",,0.0000,
E033,"999 480ml/40",,0.0000,
E034,"999 100ml/100",,0.0000,
F013,"Kalaxy100g/100 កាឡាក់ស៊ី",,0.0000,
F014,"Kalaxy500g/20 កាឡាក់ស៊ី",,0.0000,
F015,"Kalonil 100g/100 កាឡូនីល",,0.0000,
F018,"Kamanta 500g/20 កាម៉ង់តា​500ក្រាម",,0.0000,
F019,"Kanazol 480ml/40 កាណាសូល",,200.0000,
F039,"Carell 5mg",,500.0000,
G001,"168 100ml/100",,2000.0000,
G005,AMINO250ML/48អាមីណូ,,0.0000,
G006,"AMINO 500ml/24 អាមីណូ​",,0.0000,
G014,"Calimag 250ml48 កាលីម៉ាក់",,0.0000,
G015,"Calimag 480ml/24 កាលីម៉ាក់480 មល",,120.0000,
G044,"KOK 12 /1kg /20 កុក 12",,0.0000,
G046,"Kok 18-18-18 5kg/4 កុក 18-18-18",,0.0000,
G048,"KOK3/20 កុក3",,0.0000,
G059,"KOK PK500 500ml/24ប៉េកា៥០០",,0.0000,
H001,"Kaphosat 5L ទន្សាយ",,80.0000,
H002,"Kaphosat 1L/20 ទន្សាយ ១ល",,20.0000,
H007,"Sanaphen 450ml/40  សាណាហ្វែន-អាលដូ",,200.0000,
H014,"Kuyromeas 25g/400 កុយរមាស",,0.0000,
K005,"KOK 17-7-17",,0.0000,
K007,"KOK 25-15-5 កុក 50kg",,0.0000,
S010,"Egg plant TN 78A 1g ត្រប់វែង",,0.0000,
