Code,Price,Cost
E001,13000,720
E002,13500,12300
E003,13000,10130
E004,5000,860
E005,39000,37700
E006,13000,11700
E007,8500,7700
E008,20000,17063
E009,23000,20700
E010,23000,20563
E011,20000,18700
E012,26000,21200
E013,18500,17200
E014,16500,15300
E015,5000,4250
E016,45000,41210
E017,2500,500
E018,23000,15550
E019,24000,23000
E020,6000,5000
E021,50000,40000
E022,17000,12900
E023,14000,10176
E024,28000,21475
E025,20000,15031
E026,2000,820
E027,7500,5330
E029,9000,8600
E030,60000,57200
E032,21000,14974
E033,26000,21700
E034,7000,5000
E035,5500,4300
E036,26000,23750
E037,16000,14700
E040,43000,41200
F001,30000,25331
F002,54000,52000
F003,32000,30600
F004,41000,38000
F005,40000,38200
F006,23000,21600
F007,23000,21500
F008,32000,31200
F009,25000,23000
F010,18500,16800
F011,14000,9300
F012,55000,41000
F013,9000,5700
F014,42000,25900
F015,6000,4500
F016,22500,18950
F017,6000,3280
F018,26000,17880
F019,17000,13700
F020,10000,8800
F021,11000,9800
F022,31000,30000
F023,8000,7500
F024,78000,75000
F025,12500,11800
F026,36500,35500
F0260,19000,17750
F027,25000,21500
F028,37500,35350
F029,18000,16500
F030,23000,20200
F031,17000,16000
F032,31000,23000
F033,30000,20655
F034,38000,35500
F035,31000,23000
F036,4500,3900
F037,4300,3500
F039,6000,3060
F042,106600,105575
G001,4000,2710
G002,52000,48000
G003,26000,23200
G004,31000,30000
G005,14000,11500
G006,26000,19500
G007,14000,13000
G008,14000,12500
G009,13500,12400
G010,13500,12300
G012,14500,11700
G013,14500,12200
G014,25000,17630
G015,24000,15140
G016,4000,3000
G017,4000,4920
G018,7000,4669
G019,16000,13625
G020,17000,16500
G021,3000,2100
G022,3000,2045
G023,15000,13200
G024,13500,10000
G025,17000,14407
G026,1500,900
G027,16000,14000
G028,15000,14200
G029,26500,24500
G030,27000,24400
G031,26000,23000
G032,16000,22700
G033,16500,12800
G034,16500,13300
G035,25000,21700
G036,16000,11000
G037,16000,12800
G038,16000,14500
G039,20500,24300
G040,600,4050
G041,12000,8900
G042,12000,8900
G043,12000,8900
G044,12000,8900
G045,68000,55300
G046,68000,55300
G047,12000,9200
G048,12500,8900
G049,12500,11500
G050,16500,16000
G051,16500,15800
G052,16500,15300
G053,10500,9600
G054,20000,17300
G055,16000,13700
G057,18000,16700
G058,14000,10250
G059,26000,19500
G060,14000,11500
G061,240000,212500
G062,20000,17507
G063,15500,14500
G064,19500,17500
G065,68000,56800
G066,16000,14000
G067,410000,373000
G068,16000,15500
G069,17000,16900
G070,16000,14700
G071,17000,15800
G072,60000,53200
G073,16500,14700
G074,18000,17000
G078,16500,13000
G079,24000,23000
G081,9000,8000
H001,66000,54300
H002,16000,10860
H003,51000,50000
H004,56000,51750
H005,72000,58400
H006,70000,65000
H007,8000,6350
H008,6000,5500
H009,15000,13450
H014,3000,1476
H017,16000,13200
H018,80000,78000
H019,260000,233600
H020,55000,50000
K001,114000,112700
K002,115800,111725
K003,70000,40000
K004,50000,40000
K005,115000,91300
K006,125000,109500
K007,125000,112600
K008,135000,115650
K009,90000,80800
K010,90000,83025
K011,106600,105575
K012,80000,74825
M001,14000,12000
M002,16000,12000
M003,16000,12800
M005,20000,13800
M006,240000,215200
M007,120000,116800
M008,152000,108650
M009,155000,152000
M010,23000,21000
M015,38900,31000
O2,6000,5000
S001,24000,9500
S002,11000,9300
S006,9500,7800
S007,9500,8000
S008,11000,2000
S009,3000,2000
S010,8500,6000
S011,7000,5000
S014,8500,7500
S018,7000,6000
S022,8000,7000
S031,6000,5500
S032,16500,14000
S033,9000,7000
S034,1500,1200
S035,4000,3500
S036,8000,7000
S037,8000,7000
S038,8000,7000
S039,8000,7000
S040,7000,6000
S041,16500,14500
S042,5000,4000
S043,7500,6500
S050,1500,1000
S100,1500,950
