Code,Price,Cost
E001 ,13000,720
E002 ,13500,12300
E003 ,13000,9600
E004 ,6000,2700
E005 ,40500,38600
E006 ,13000,12100
E007 ,9000,7700
E008 ,24500,23500
E009 ,24000,23000
E010 ,23000,20563
E011 ,20000,17200
E012 ,26000,21200
E013 ,18500,17200
E014 ,17500,16200
E015 ,5000,4250
E016 ,42000,39200
E017 ,2500,500
E018 ,23000,15550
E019 ,24000,23000
E020 ,6000,5000
E021 ,53000,44600
E022 ,18000,12900
E023 ,14000,10176
E024 ,28000,21475
E025 ,20000,15031
E026 ,2000,820
E027 ,7500,5330
E029 ,9000,8600
E030 ,60000,57200
E032 ,30000,14974
E033 ,27000,22200
E034 ,7000,5000
E035 ,5500,4300
E036 ,26000,23750
E037 ,16000,14700
E039 ,33000,31700
E040 ,43000,41200
E041 ,8000,6773.4559
E042 ,42000,37400
E043 ,8500,6700
E044 ,800,650
E045 ,40000,36200
E046 ,25000,24000
E047 ,26000,23750
E048 ,5000,4000
E049 ,8000,7000
E050 ,3500,3000
E052 ,60000,48000
E053 ,16500,14500
E055 ,10000,8700
E056 ,12500,12000
E057 ,10000,90500
E058 ,16500,15500
E059 ,21000,20100
E060 ,38000,24700
E061 ,12500,8000
E062 ,57000,54500
E063 ,45000,40000
E47 ,28000,25500
E48 ,9500,8500
F001 ,30000,25331
F002 ,54000,51250
F003 ,32000,30600
F004 ,39000,37400
F005 ,4000,38223
F006 ,23000,22765
F007 ,23000,21850
F008 ,32500,31000
F009 ,24500,23000
F010 ,18500,16800
F011 ,14000,9300
F012 ,55000,41000
F013 ,9000,5700
F014 ,42000,25900
F015 ,6000,4500
F016 ,22500,18950
F017 ,6000,3280
F018 ,26000,17880
F019 ,17000,13700
F020 ,10000,8800
F021 ,11000,9857
F022 ,31000,30000
F023 ,8000,7500
F024 ,75000,74000
F025 ,12500,11630
F026 ,37500,36700
F0260 ,19000,17750
F027 ,25000,21500
F028 ,37000,35350
F029 ,18500,16800
F030 ,20000,19500
F031 ,17000,16000
F032 ,28000,2500
F033 ,30000,20655
F034 ,38000,35500
F035 ,31000,23000
F036 ,4500,3900
F037 ,4300,3500
F038 ,29000,28000
F039 ,6000,3800
F042 ,106600,105575
F043 ,40000,36703
F044 ,36000,34000
F045 ,9000,5700
F046 ,72000,67100
F047 ,31500,30500
F048 ,16500,15500
F049 ,20000,17200
F050 ,65000,56660
F051 ,19000,18700
F055 ,32000,29500
F058 ,10000,6700
F059 ,16500,15600
F060 ,42000,41000
F061 ,25000,20000
F077 ,72000,63400
F078 ,37000,32000
G001 ,4500,3000
G0010 ,13500,12920
G002 ,50000,48000
G003 ,26000,23200
G004 ,31000,29180
G005 ,14000,11500
G006 ,26000,19500
G007 ,14000,13000
G008 ,14000,12500
G009 ,13500,12400
G010 ,14000,13100
G0102 ,16500,15400
G012 ,14500,11700
G013 ,14500,12200
