Code,Price,Cost
E005 ,39000,37700
E007 ,8500,7700
E008 ,20000,17063
E009 ,23000,20700
E013 ,18500,17200
E014 ,16500,15300
E015 ,5000,4250
E024 ,28000,17127
E030 ,60000,57200
E033 ,26000,21700
E040 ,43000,41200
F001 ,30000,25331
F002 ,54000,52000
F003 ,32000,30600
F004 ,4100,38000
F005 ,4000,38200
F006 ,23000,21600
F007 ,23000,21500
F008 ,32000,31200
F009 ,25000,23000
F010 ,18500,16800
F011 ,14000,9300
F013 ,9000,11400
F018 ,26000,17880
F019 ,17000,13700
F021 ,11000,9800
F022 ,31000,30000
F024 ,78000,75000
F025 ,12500,11800
F0260 ,19000,17750
F027 ,25000,21500
F028 ,37500,35350
F029 ,18000,16500
F030 ,22000,20200
F032 ,31000,23000
F033 ,30000,20655
F042 ,106600,105575
F043 ,42000,36300
F044 ,35000,33900
G001 ,4000,2710
G002 ,52000,48000
G003 ,26000,23200
G004 ,31000,30000
G005 ,14000,11500
G008 ,14000,12500
G010 ,13500,12300
G012 ,14500,11700
G014 ,25000,17630
G017 ,6000,4920
G018 ,7000,4669
G019 ,16000,13625
G022 ,3000,2800
G023 ,15000,13200
G024 ,13500,10000
G025 ,17000,10231
G028 ,15000,14200
G030 ,27000,24400
G031 ,26000,23000
G034 ,16500,6999
G035 ,25000,21700
G036 ,16000,11000
G037 ,16000,12800
G038 ,16000,14500
G040 ,600,450
G046 ,68000,55300
G049 ,12500,11500
G050 ,20000,17300
G052 ,16500,15300
G063 ,15000,14500
G070 ,19500,14700
G078 ,16500,13000
G082 ,17000,14050
H001 ,51000,50000
H002 ,16000,10860
K002 ,115800,111725
K003 ,70000,40000
K011 ,106600,105575
M006 ,240000,215200
M007 ,12000,116800
M010 ,23000,21000
M015 ,38900,31000
